TEAM_ID,TEAM
140409122658096,Atlanta Hawks
140409122658352,Boston Celtics
140409122658608,Brooklyn Nets
140409122660800,Charlotte Hornets
140409122659056,Chicago Bulls
140409122661200,Cleveland Cavaliers
140409122661440,Dallas Mavericks
140409122659696,Denver Nuggets
140409122659952,Detroit Pistons
140409122662000,Golden State Warriors
140409122664560,Houston Rockets
140409122664816,Indiana Pacers
140409122665072,LA Clippers
140409122662720,Los Angeles Lakers
140409122662960,Memphis Grizzlies
140409122665712,Miami Heat
140409122665968,Milwaukee Bucks
140409122663520,Minnesota Timberwolves
140409122663760,New Orleans Pelicans
140409122666608,New York Knicks
140409122664160,Oklahoma City Thunder
140409122667056,Orlando Magic
140409122672848,Philadelphia 76ers
140409122667504,Phoenix Suns
140409122673248,Portland Trail Blazers
140409122673488,Sacramento Kings
140409122673728,San Antonio Spurs
140409122668336,Toronto Raptors
140409122676848,Utah Jazz
140409122674288,Washington Wizards
